chromosome,start,end,y
1,69091,70008,0.0186651
1,134901,139379,6.27436
1,367640,368634,0.025831
1,621059,622053,0
1,738532,739137,0
1,818043,819983,0
1,860260,861263,0.931061
1,861264,866445,0.4655305
1,866446,879583,0.931061
1,879584,879955,39.2942805
1,879956,894689,77.6575
1,895967,901095,9.84735
1,901877,910578,4.80237
1,910579,911245,2.8163015
1,911246,917497,0.830233
1,934342,935552,5.32161
1,948803,949920,106.88
1,955503,991496,93.6622
1,1006346,1009687,2.5855
1,1017198,1051741,4.92996
1,1109264,1133315,0.187263
1,1138888,1142071,9.79298
1,1146706,1149518,0.0730998
1,1152288,1167411,75.65
1,1167629,1170421,15.1162
1,1177826,1182102,0.430019
1,1189289,1209265,15.3069
1,1215816,1227409,2.42438
1,1227756,1243946,10.7315
1,1243947,1244989,8.881635
1,1244990,1246964,7.03177
1,1246965,1247057,15.204985
1,1247058,1260071,23.3782
1,1260136,1264277,12.1839
1,1266694,1270655,0.22413
1,1270656,1270686,15.461365
1,1270687,1284730,30.6986
1,1288069,1297157,0.371703
1,1309110,1310875,32.9807
1,1321091,1334708,70.6377
1,1334902,1337287,6.81294
1,1337288,1337426,18.41102
1,1337427,1342693,30.0091
1,1353800,1357149,0.0774153
1,1361508,1363167,0.243785
1,1370241,1378262,9.09503
1,1385069,1405538,1.16998
1,1407143,1433228,20.2712
1,1447531,1470067,22.4411
1,1470554,1475833,0.364566
1,1477053,1510249,69.7917
1,1510355,1511373,0.302672
1,1533392,1535476,3.99807
1,1550795,1565990,9.2747
1,1567474,1570602,0.012044
1,1570603,1570639,6.598372
1,1570640,1590473,13.1847
1,1592939,1624167,10.5931
1,1634169,1655766,14.2918
1,1656277,1677431,1.82705
1,1682671,1711896,21.2254
1,1716729,1822495,106.939
1,1846266,1848735,1.79807
1,1849029,1850712,1.19451
1,1853396,1935276,0.0188568
1,1950780,1962192,0.237358
1,1981909,2115902,4.30895
1,2115903,2116834,4.32172
1,2116835,2121236,4.33449
1,2121237,2123179,4.24844
1,2123180,2143359,4.33449
1,2143360,2144159,2.221441
1,2144160,2145620,0.108392
1,2160134,2241558,17.088
1,2252692,2258580,1.8848
1,2258581,2259042,0.9887598
1,2259043,2323146,1.8848
1,2323267,2336235,28.8368
1,2336236,2336883,17.51122
1,2336884,2345236,6.18564
1,2357419,2436969,0.0954161
1,2439972,2458039,8.55013
1,2460184,2461684,0
1,2487078,2496821,2.54452
1,2517930,2522077,11.9646
1,2522078,2522908,6.0189374
1,2522909,2564481,0.0732748
1,2567415,2718286,0.0134759
1,2938046,2939465,0
1,2985732,3355185,0.0055344
1,3370990,3397677,10.4409
1,3406484,3528059,4.55318
1,3541566,3546691,19.5479
1,3547331,3569083,20.6579
1,3569084,3569325,12.1429
1,3569326,3652765,3.6279
1,3668962,3688209,0.003696
1,3689352,3692546,0.395137
1,3696784,3713068,18.6923
1,3728645,3773778,6.68492
1,3773845,3801993,2.82782
1,3805689,3816857,12.2021
1,4714792,4852594,0.0013813
1,5922871,6051525,5.98906
1,6051526,6052533,3.301216
1,6052534,6161253,0.613372
1,6161853,6240183,1.85726
1,6241329,6265534,65.1163
1,6265535,6269449,38.54885
1,6269450,6281252,11.9814
1,6281253,6281359,26.24415
1,6281360,6296032,40.5069
1,6304252,6305638,0
1,6307406,6321035,0.411364
1,6324329,6454451,22.4094
1,6472478,6484730,2.19451
1,6484848,6521210,1.80506
1,6521211,6521430,5.48498
1,6521431,6526151,9.1649
1,6526152,6526255,8.637075
1,6526256,6580121,8.10925
1,6581407,6614595,5.84854
1,6615241,6639817,0.0355489
1,6640061,6649340,9.37277
1,6650784,6673744,10.8677
1,6673745,6674667,9.779175
1,6674668,6684093,8.69065
1,6684926,6694227,2.93542
1,6694228,6695646,9.77531
1,6695647,6761984,16.6152
1,6845384,7829766,2.65481
1,7831329,7841492,27.8588
1,7844380,7903142,6.79685
1,7903143,7905237,3.4031066
1,7905238,7913572,0.0093632
1,7979907,8000926,0.397606
1,8014351,8045565,71.8398
1,8064464,8086368,44.5618
1,8377886,8404227,0.42578
1,8412457,8877702,6.74822
1,8921061,8939308,1412.44
1,9005926,9035151,0.0514939
1,9063359,9086404,0.0055668
1,9095166,9148537,0.0140301
1,9160364,9189229,1.60444
1,9294834,9331396,6.82001
1,9352939,9429591,9.83111
1,9599541,9645237,4.82383
1,9648932,9674935,5.30054
1,9711790,9712667,3.7981
